Address,Price_total,Area_m2,Price_m2,Rooms,Floor,source
ulica Pastuszków 9D,1250000.0,118.2,10573.0,5,1.0,transactions
ulica Pastuszków 9D,1250000.0,118.2,10573.0,0,1.0,transactions
ulica Równoległa 8,698117.0,38.3,18237.0,2,7.0,transactions
ulica Loteryjki 69E,674000.0,52.6,12811.0,0,2.0,transactions
ulica Równoległa 8B,936618.0,65.9,14221.0,3,3.0,transactions
ulica Równoległa 16A,477727.0,34.2,13960.0,2,2.0,transactions
ulica Łopuszańska 53,416546.0,30.2,13793.0,2,3.0,transactions
ulica Równoległa 8B,1088726.0,77.7,14021.0,5,2.0,transactions
ulica Łopuszańska 53,1354082.0,99.5,13610.0,5,2.0,transactions
ulica Równoległa 8B,1117885.0,77.5,14417.0,5,3.0,transactions
ulica Instalatorów 7A,1001644.0,71.0,14116.0,4,2.0,transactions
ulica Mińska 9,805845.0,39.9,20181.0,1,1.0,transactions
ulica Jerzego 68A,920000.0,125.3,7343.0,6,2.0,transactions
ulica Mińska 9,753548.0,36.8,20505.0,2,1.0,transactions
ulica Bogata 9,1510000.0,119.9,12591.0,5,1.0,transactions
ulica Równoległa 16A,1117356.0,70.6,15829.0,3,2.0,transactions
ulica Bogata 7,1510000.0,119.9,12591.0,5,1.0,transactions
ulica Równoległa 8,422629.0,26.0,16230.0,1,5.0,transactions
ulica Równoległa 16A,563507.0,37.3,15120.0,2,5.0,transactions
ulica Równoległa 8,859944.0,55.9,15397.0,3,7.0,transactions
ulica Mińska 9,354900.0,25.4,14000.0,1,5.0,transactions
ulica Równoległa 8B,1020745.0,66.1,15440.0,4,2.0,transactions
ulica Tomasza Nocznickiego 29,1124376.0,56.6,19851.0,3,6.0,transactions
ulica Instalatorów 7A,1082358.0,86.1,12575.0,4,3.0,transactions
ulica Mińska 9,361295.0,25.1,14388.0,1,5.0,transactions
ulica Pastuszków 9D,1250000.0,118.2,10573.0,5,1.0,transactions
ulica Pastuszków 9D,1250000.0,118.2,10573.0,0,1.0,transactions
ulica Równoległa 8,698117.0,38.3,18237.0,2,7.0,transactions
ulica Loteryjki 69E,674000.0,52.6,12811.0,0,2.0,transactions
ulica Równoległa 8B,936618.0,65.9,14221.0,3,3.0,transactions
ulica Równoległa 16A,477727.0,34.2,13960.0,2,2.0,transactions
ulica Łopuszańska 53,416546.0,30.2,13793.0,2,3.0,transactions
ulica Równoległa 8B,1088726.0,77.7,14021.0,5,2.0,transactions
ulica Łopuszańska 53,1354082.0,99.5,13610.0,5,2.0,transactions
ulica Równoległa 8B,1117885.0,77.5,14417.0,5,3.0,transactions
ulica Instalatorów 7A,1001644.0,71.0,14116.0,4,2.0,transactions
ulica Mińska 9,805845.0,39.9,20181.0,1,1.0,transactions
ulica Jerzego 68A,920000.0,125.3,7343.0,6,2.0,transactions
ulica Mińska 9,753548.0,36.8,20505.0,2,1.0,transactions
ulica Bogata 9,1510000.0,119.9,12591.0,5,1.0,transactions
ulica Równoległa 16A,1117356.0,70.6,15829.0,3,2.0,transactions
ulica Bogata 7,1510000.0,119.9,12591.0,5,1.0,transactions
ulica Równoległa 8,422629.0,26.0,16230.0,1,5.0,transactions
ulica Równoległa 16A,563507.0,37.3,15120.0,2,5.0,transactions
ulica Równoległa 8,859944.0,55.9,15397.0,3,7.0,transactions
ulica Mińska 9,354900.0,25.4,14000.0,1,5.0,transactions
ulica Równoległa 8B,1020745.0,66.1,15440.0,4,2.0,transactions
ulica Tomasza Nocznickiego 29,1124376.0,56.6,19851.0,3,6.0,transactions
ulica Instalatorów 7A,1082358.0,86.1,12575.0,4,3.0,transactions
ulica Mińska 9,361295.0,25.1,14388.0,1,5.0,transactions
ulica Pastuszków 9D,1250000.0,118.2,10573.0,5,1.0,transactions
ulica Pastuszków 9D,1250000.0,118.2,10573.0,0,1.0,transactions
ulica Równoległa 8,698117.0,38.3,18237.0,2,7.0,transactions
ulica Loteryjki 69E,674000.0,52.6,12811.0,0,2.0,transactions
ulica Równoległa 8B,936618.0,65.9,14221.0,3,3.0,transactions
ulica Równoległa 16A,477727.0,34.2,13960.0,2,2.0,transactions
ulica Łopuszańska 53,416546.0,30.2,13793.0,2,3.0,transactions
ulica Równoległa 8B,1088726.0,77.7,14021.0,5,2.0,transactions
ulica Łopuszańska 53,1354082.0,99.5,13610.0,5,2.0,transactions
ulica Równoległa 8B,1117885.0,77.5,14417.0,5,3.0,transactions
ulica Instalatorów 7A,1001644.0,71.0,14116.0,4,2.0,transactions
ulica Mińska 9,805845.0,39.9,20181.0,1,1.0,transactions
ulica Jerzego 68A,920000.0,125.3,7343.0,6,2.0,transactions
ulica Mińska 9,753548.0,36.8,20505.0,2,1.0,transactions
ulica Bogata 9,1510000.0,119.9,12591.0,5,1.0,transactions
ulica Równoległa 16A,1117356.0,70.6,15829.0,3,2.0,transactions
ulica Bogata 7,1510000.0,119.9,12591.0,5,1.0,transactions
ulica Równoległa 8,422629.0,26.0,16230.0,1,5.0,transactions
ulica Równoległa 16A,563507.0,37.3,15120.0,2,5.0,transactions
ulica Równoległa 8,859944.0,55.9,15397.0,3,7.0,transactions
ulica Mińska 9,354900.0,25.4,14000.0,1,5.0,transactions
ulica Równoległa 8B,1020745.0,66.1,15440.0,4,2.0,transactions
ulica Tomasza Nocznickiego 29,1124376.0,56.6,19851.0,3,6.0,transactions
ulica Instalatorów 7A,1082358.0,86.1,12575.0,4,3.0,transactions
ulica Mińska 9,361295.0,25.1,14388.0,1,5.0,transactions
ulica Mińska 9,516651.0,37.6,13752.0,2,5.0,transactions
ulica Mińska 9,686479.0,35.0,19619.0,1,1.0,transactions
ulica Mińska 9,361200.0,25.8,14000.0,1,5.0,transactions
ulica Stanisława Dubois 9,1013000.0,39.4,25704.0,2,2.0,transactions
ulica Bogata 9,1530000.0,119.9,12757.0,5,1.0,transactions
ulica Instalatorów 7A,693496.0,49.5,14024.0,3,1.0,transactions
ulica Równoległa 8,1066288.0,79.3,13455.0,5,4.0,transactions
ulica Przedpole 8,614710.0,40.5,15186.0,2,2.0,transactions
ulica Instalatorów 7A,980000.0,63.4,15450.0,3,6.0,transactions
ulica Jerzego Holzera 6,1238224.0,87.3,14190.0,5,4.0,transactions
ulica Równoległa 8B,939226.0,66.2,14188.0,4,5.0,transactions
ulica Hilarego Koprowskiego 4,601121.0,44.8,13412.0,2,2.0,transactions
ulica Loteryjki 69D,309739.0,42.4,7300.0,2,3.0,transactions
ulica Podleśna 59,1265537.0,52.3,24193.0,2,3.0,transactions
ulica Solipska 1,1212716.0,80.7,15026.0,5,2.0,transactions
ulica Janowiecka 17,1000000.0,77.7,12865.0,4,4.0,transactions
ulica Zachodnia 10,1466588.0,149.9,9781.0,5,1.0,transactions
ulica Janowiecka 17,624419.0,41.3,15104.0,2,4.0,transactions
ulica Zachodnia 10,1113436.0,130.8,8516.0,5,1.0,transactions
ulica Zachodnia 12,1369386.0,145.5,9409.0,6,1.0,transactions
ulica Instalatorów 7,922618.0,71.9,12836.0,4,4.0,transactions
ulica Zachodnia 12,1045000.0,125.5,8329.0,5,1.0,transactions
ulica Instalatorów 7A,513277.0,36.6,14012.0,2,2.0,transactions
ulica Jerzego Holzera 6,530000.0,31.9,16620.0,1,2.0,transactions
ulica Prętowa 19A,1980000.0,157.6,12562.0,5,1.0,transactions
ulica Mińska 9,516651.0,37.6,13752.0,2,5.0,transactions
ulica Mińska 9,686479.0,35.0,19619.0,1,1.0,transactions
ulica Mińska 9,361200.0,25.8,14000.0,1,5.0,transactions
ulica Stanisława Dubois 9,1013000.0,39.4,25704.0,2,2.0,transactions
ulica Bogata 9,1530000.0,119.9,12757.0,5,1.0,transactions
ulica Instalatorów 7A,693496.0,49.5,14024.0,3,1.0,transactions
ulica Równoległa 8,1066288.0,79.3,13455.0,5,4.0,transactions
ulica Przedpole 8,614710.0,40.5,15186.0,2,2.0,transactions
ulica Instalatorów 7A,980000.0,63.4,15450.0,3,6.0,transactions
ulica Jerzego Holzera 6,1238224.0,87.3,14190.0,5,4.0,transactions
ulica Równoległa 8B,939226.0,66.2,14188.0,4,5.0,transactions
ulica Hilarego Koprowskiego 4,601121.0,44.8,13412.0,2,2.0,transactions
ulica Loteryjki 69D,309739.0,42.4,7300.0,2,3.0,transactions
ulica Podleśna 59,1265537.0,52.3,24193.0,2,3.0,transactions
ulica Solipska 1,1212716.0,80.7,15026.0,5,2.0,transactions
ulica Janowiecka 17,1000000.0,77.7,12865.0,4,4.0,transactions
ulica Zachodnia 10,1466588.0,149.9,9781.0,5,1.0,transactions
ulica Janowiecka 17,624419.0,41.3,15104.0,2,4.0,transactions
ulica Zachodnia 10,1113436.0,130.8,8516.0,5,1.0,transactions
ulica Zachodnia 12,1369386.0,145.5,9409.0,6,1.0,transactions
ulica Instalatorów 7,922618.0,71.9,12836.0,4,4.0,transactions
ulica Zachodnia 12,1045000.0,125.5,8329.0,5,1.0,transactions
ulica Instalatorów 7A,513277.0,36.6,14012.0,2,2.0,transactions
ulica Jerzego Holzera 6,530000.0,31.9,16620.0,1,2.0,transactions
ulica Prętowa 19A,1980000.0,157.6,12562.0,5,1.0,transactions
ulica Mińska 9,516651.0,37.6,13752.0,2,5.0,transactions
ulica Mińska 9,686479.0,35.0,19619.0,1,1.0,transactions
ulica Mińska 9,361200.0,25.8,14000.0,1,5.0,transactions
ulica Stanisława Dubois 9,1013000.0,39.4,25704.0,2,2.0,transactions
ulica Bogata 9,1530000.0,119.9,12757.0,5,1.0,transactions
ulica Instalatorów 7A,693496.0,49.5,14024.0,3,1.0,transactions
ulica Równoległa 8,1066288.0,79.3,13455.0,5,4.0,transactions
ulica Przedpole 8,614710.0,40.5,15186.0,2,2.0,transactions
ulica Instalatorów 7A,980000.0,63.4,15450.0,3,6.0,transactions
ulica Jerzego Holzera 6,1238224.0,87.3,14190.0,5,4.0,transactions
ulica Równoległa 8B,939226.0,66.2,14188.0,4,5.0,transactions
ulica Hilarego Koprowskiego 4,601121.0,44.8,13412.0,2,2.0,transactions
ulica Loteryjki 69D,309739.0,42.4,7300.0,2,3.0,transactions
ulica Podleśna 59,1265537.0,52.3,24193.0,2,3.0,transactions
ulica Solipska 1,1212716.0,80.7,15026.0,5,2.0,transactions
ulica Janowiecka 17,1000000.0,77.7,12865.0,4,4.0,transactions
ulica Zachodnia 10,1466588.0,149.9,9781.0,5,1.0,transactions
ulica Janowiecka 17,624419.0,41.3,15104.0,2,4.0,transactions
ulica Zachodnia 10,1113436.0,130.8,8516.0,5,1.0,transactions
ulica Zachodnia 12,1369386.0,145.5,9409.0,6,1.0,transactions
ulica Instalatorów 7,922618.0,71.9,12836.0,4,4.0,transactions
ulica Zachodnia 12,1045000.0,125.5,8329.0,5,1.0,transactions
ulica Instalatorów 7A,513277.0,36.6,14012.0,2,2.0,transactions
ulica Jerzego Holzera 6,530000.0,31.9,16620.0,1,2.0,transactions
ulica Prętowa 19A,1980000.0,157.6,12562.0,5,1.0,transactions
ulica Hilarego Koprowskiego 4,1019181.0,83.5,12200.0,4,3.0,transactions
ulica Potułkały 3G,2849000.0,229.4,12418.0,8,1.0,transactions
ulica Instalatorów 7,577806.0,38.2,15122.0,2,4.0,transactions
ulica Książąt Mazowieckich 8,1375927.0,80.2,17167.0,4,3.0,transactions
ulica Równoległa 8,589295.0,37.1,15880.0,2,4.0,transactions
ulica Jerzego Holzera 6,985000.0,63.5,15524.0,4,2.0,transactions
ulica Syta 160A,950000.0,156.5,6070.0,6,1.0,transactions
ulica Janowiecka 17,733400.0,52.7,13909.0,3,3.0,transactions
ulica Waniliowa 3E,2200000.0,186.5,11796.0,5,1.0,transactions
ulica Hilarego Koprowskiego 4,380000.0,27.4,13894.0,1,2.0,transactions
ulica Świętokrzyska 35,861563.0,37.5,22975.0,3,15.0,transactions
ulica Podleśna 59,2084253.0,86.1,24216.0,4,2.0,transactions
ulica Równoległa 8,639954.0,39.4,16234.0,3,2.0,transactions
ulica Podleśna 59,2301936.0,109.2,21084.0,4,1.0,transactions
ulica Szeligowska 39A,613280.0,46.5,13194.0,2,2.0,transactions
ulica Szeligowska 39,756810.0,59.0,12836.0,3,4.0,transactions
ulica Równoległa 16A,1138718.0,98.9,11517.0,5,7.0,transactions
ulica Podleśna 59,1497264.0,63.0,23755.0,3,3.0,transactions
ulica Instalatorów 7,555089.0,37.8,14677.0,2,3.0,transactions
ulica Szeligowska 39,747158.0,59.0,12668.0,3,3.0,transactions
ulica Szeligowska 39B,494681.0,35.1,14081.0,2,4.0,transactions
ulica Stanisława Dubois 9,1310700.0,43.9,29850.0,2,10.0,transactions
ulica Szeroka 140C,1422000.0,126.6,11229.0,0,1.0,transactions
ulica Pod Dębami 21,3570000.0,181.3,19687.0,6,1.0,transactions
ulica Michała Oczapowskiego 15,2076344.0,100.7,20621.0,4,4.0,transactions
ulica Hilarego Koprowskiego 4,1019181.0,83.5,12200.0,4,3.0,transactions
ulica Potułkały 3G,2849000.0,229.4,12418.0,8,1.0,transactions
ulica Instalatorów 7,577806.0,38.2,15122.0,2,4.0,transactions
ulica Książąt Mazowieckich 8,1375927.0,80.2,17167.0,4,3.0,transactions
ulica Równoległa 8,589295.0,37.1,15880.0,2,4.0,transactions
ulica Jerzego Holzera 6,985000.0,63.5,15524.0,4,2.0,transactions
ulica Syta 160A,950000.0,156.5,6070.0,6,1.0,transactions
ulica Janowiecka 17,733400.0,52.7,13909.0,3,3.0,transactions
ulica Waniliowa 3E,2200000.0,186.5,11796.0,5,1.0,transactions
ulica Hilarego Koprowskiego 4,380000.0,27.4,13894.0,1,2.0,transactions
ulica Świętokrzyska 35,861563.0,37.5,22975.0,3,15.0,transactions
ulica Podleśna 59,2084253.0,86.1,24216.0,4,2.0,transactions
ulica Równoległa 8,639954.0,39.4,16234.0,3,2.0,transactions
ulica Podleśna 59,2301936.0,109.2,21084.0,4,1.0,transactions
ulica Szeligowska 39A,613280.0,46.5,13194.0,2,2.0,transactions
ulica Szeligowska 39,756810.0,59.0,12836.0,3,4.0,transactions
ulica Równoległa 16A,1138718.0,98.9,11517.0,5,7.0,transactions
ulica Podleśna 59,1497264.0,63.0,23755.0,3,3.0,transactions
ulica Instalatorów 7,555089.0,37.8,14677.0,2,3.0,transactions
ulica Szeligowska 39,747158.0,59.0,12668.0,3,3.0,transactions
ulica Szeligowska 39B,494681.0,35.1,14081.0,2,4.0,transactions
ulica Stanisława Dubois 9,1310700.0,43.9,29850.0,2,10.0,transactions
ulica Szeroka 140C,1422000.0,126.6,11229.0,0,1.0,transactions
ulica Pod Dębami 21,3570000.0,181.3,19687.0,6,1.0,transactions
ulica Michała Oczapowskiego 15,2076344.0,100.7,20621.0,4,4.0,transactions
ulica Hilarego Koprowskiego 4,1019181.0,83.5,12200.0,4,3.0,transactions
ulica Potułkały 3G,2849000.0,229.4,12418.0,8,1.0,transactions
ulica Instalatorów 7,577806.0,38.2,15122.0,2,4.0,transactions
ulica Książąt Mazowieckich 8,1375927.0,80.2,17167.0,4,3.0,transactions
ulica Równoległa 8,589295.0,37.1,15880.0,2,4.0,transactions
ulica Jerzego Holzera 6,985000.0,63.5,15524.0,4,2.0,transactions
ulica Syta 160A,950000.0,156.5,6070.0,6,1.0,transactions
ulica Janowiecka 17,733400.0,52.7,13909.0,3,3.0,transactions
ulica Waniliowa 3E,2200000.0,186.5,11796.0,5,1.0,transactions
ulica Hilarego Koprowskiego 4,380000.0,27.4,13894.0,1,2.0,transactions
ulica Świętokrzyska 35,861563.0,37.5,22975.0,3,15.0,transactions
ulica Podleśna 59,2084253.0,86.1,24216.0,4,2.0,transactions
ulica Równoległa 8,639954.0,39.4,16234.0,3,2.0,transactions
ulica Podleśna 59,2301936.0,109.2,21084.0,4,1.0,transactions
ulica Szeligowska 39A,613280.0,46.5,13194.0,2,2.0,transactions
ulica Szeligowska 39,756810.0,59.0,12836.0,3,4.0,transactions
ulica Równoległa 16A,1138718.0,98.9,11517.0,5,7.0,transactions
ulica Podleśna 59,1497264.0,63.0,23755.0,3,3.0,transactions
ulica Instalatorów 7,555089.0,37.8,14677.0,2,3.0,transactions
ulica Szeligowska 39,747158.0,59.0,12668.0,3,3.0,transactions
ulica Szeligowska 39B,494681.0,35.1,14081.0,2,4.0,transactions
ulica Stanisława Dubois 9,1310700.0,43.9,29850.0,2,10.0,transactions
ulica Szeroka 140C,1422000.0,126.6,11229.0,0,1.0,transactions
ulica Pod Dębami 21,3570000.0,181.3,19687.0,6,1.0,transactions
ulica Michała Oczapowskiego 15,2076344.0,100.7,20621.0,4,4.0,transactions
ulica Mińska 9,392012.0,28.8,13593.0,1,5.0,transactions
ulica Instalatorów 7,474504.0,32.4,14659.0,2,5.0,transactions
ulica Instalatorów 7A,567188.0,39.5,14359.0,2,3.0,transactions
ulica Solipska 1,1211500.0,77.7,15584.0,4,1.0,transactions
ulica Podleśna 59,2268849.0,88.4,25657.0,4,4.0,transactions
ulica Solipska 1,1242251.0,81.4,15255.0,4,3.0,transactions
ulica Krochmalna 61,991051.0,36.5,27145.0,1,3.0,transactions
ulica Krochmalna 61,1274915.0,43.8,29081.0,1,3.0,transactions
ulica Podleśna 59,1349610.0,49.6,27193.0,2,3.0,transactions
ulica Hilarego Koprowskiego 4,1032555.0,84.7,12191.0,4,4.0,transactions
ulica Stanisława Noakowskiego 10,3635636.0,242.1,15018.0,9,3.0,transactions
ulica Jerzego Holzera 6,600000.0,41.8,14358.0,2,5.0,transactions
ulica Stanisława Noakowskiego 10,3534647.0,247.3,14292.0,9,5.0,transactions
ulica Stanisława Noakowskiego 10,3332667.0,240.3,13866.0,10,8.0,transactions
ulica Równoległa 8,735910.0,52.9,13909.0,3,1.0,transactions
ulica Kolejowa 19C,1237391.0,70.5,17542.0,3,9.0,transactions
ulica Podleśna 59,1745110.0,63.4,27547.0,3,5.0,transactions
ulica Podleśna 59,1455968.0,52.5,27743.0,2,5.0,transactions
ulica Łopuszańska 53,362379.0,27.4,13240.0,1,6.0,transactions
ulica Pielgrzymów 33,502000.0,43.5,11532.0,2,2.0,transactions
Aleje Jerozolimskie 190,577294.0,36.2,15947.0,2,6.0,transactions
ulica Solipska 1,1059539.0,67.0,15814.0,4,3.0,transactions
ulica Hilarego Koprowskiego 4,562188.0,42.4,13265.0,2,2.0,transactions
ulica Solipska 1,1168820.0,75.2,15539.0,4,1.0,transactions
ulica Janowiecka 17,863643.0,67.0,12896.0,3,4.0,transactions
ulica Mińska 9,392012.0,28.8,13593.0,1,5.0,transactions
ulica Instalatorów 7,474504.0,32.4,14659.0,2,5.0,transactions
ulica Instalatorów 7A,567188.0,39.5,14359.0,2,3.0,transactions
ulica Solipska 1,1211500.0,77.7,15584.0,4,1.0,transactions
ulica Podleśna 59,2268849.0,88.4,25657.0,4,4.0,transactions
ulica Solipska 1,1242251.0,81.4,15255.0,4,3.0,transactions
ulica Krochmalna 61,991051.0,36.5,27145.0,1,3.0,transactions
ulica Krochmalna 61,1274915.0,43.8,29081.0,1,3.0,transactions
ulica Podleśna 59,1349610.0,49.6,27193.0,2,3.0,transactions
ulica Hilarego Koprowskiego 4,1032555.0,84.7,12191.0,4,4.0,transactions
ulica Stanisława Noakowskiego 10,3635636.0,242.1,15018.0,9,3.0,transactions
ulica Jerzego Holzera 6,600000.0,41.8,14358.0,2,5.0,transactions
ulica Stanisława Noakowskiego 10,3534647.0,247.3,14292.0,9,5.0,transactions
ulica Stanisława Noakowskiego 10,3332667.0,240.3,13866.0,10,8.0,transactions
ulica Równoległa 8,735910.0,52.9,13909.0,3,1.0,transactions
ulica Kolejowa 19C,1237391.0,70.5,17542.0,3,9.0,transactions
ulica Podleśna 59,1745110.0,63.4,27547.0,3,5.0,transactions
ulica Podleśna 59,1455968.0,52.5,27743.0,2,5.0,transactions
ulica Łopuszańska 53,362379.0,27.4,13240.0,1,6.0,transactions
ulica Pielgrzymów 33,502000.0,43.5,11532.0,2,2.0,transactions
Aleje Jerozolimskie 190,577294.0,36.2,15947.0,2,6.0,transactions
ulica Solipska 1,1059539.0,67.0,15814.0,4,3.0,transactions
ulica Hilarego Koprowskiego 4,562188.0,42.4,13265.0,2,2.0,transactions
ulica Solipska 1,1168820.0,75.2,15539.0,4,1.0,transactions
ulica Janowiecka 17,863643.0,67.0,12896.0,3,4.0,transactions
ulica Mińska 9,392012.0,28.8,13593.0,1,5.0,transactions
ulica Instalatorów 7,474504.0,32.4,14659.0,2,5.0,transactions
ulica Instalatorów 7A,567188.0,39.5,14359.0,2,3.0,transactions
ulica Solipska 1,1211500.0,77.7,15584.0,4,1.0,transactions
ulica Podleśna 59,2268849.0,88.4,25657.0,4,4.0,transactions
