Address,Area_m2,Price_m2,Price_total
Żelazna 54,53.3,40511.0,2158000.0
Żelazna 54,40.7,41012.0,1670000.0
Żelazna 54,41.5,41018.0,1701000.0
Żelazna 54,61.1,34228.0,2092000.0
Żelazna 54,53.3,41017.0,2185000.0
Żelazna 54,54.8,41004.0,2247000.0
Żelazna 54,41.5,41018.0,1701000.0
Żelazna 54,46.9,40017.0,1876000.0
Żelazna 54,41.5,40511.0,1680000.0
Żelazna 54,41.5,41018.0,1701000.0
Żelazna 54,41.5,40511.0,1680000.0
Waw.Re,110.6,11900.0,1316259.0
Żelazna 54,108.8,42328.0,4604000.0
Żelazna 54,61.1,42016.0,2568000.0
Żelazna 54,54.8,40511.0,2220000.0
Żelazna 54,54.8,42007.0,2302000.0
Żelazna 54,29.5,32024.0,946000.0
Żelazna 54,46.7,39520.0,1846000.0
Żelazna 54,53.3,42012.0,2238000.0
Żelazna 54,40.8,41005.0,1673000.0
Żelazna 54,40.3,40010.0,1614000.0
Żelazna 54,35.2,35009.0,1233000.0
Żelazna 54,41.0,34641.0,1422000.0
Żelazna 54,53.3,40004.0,2131000.0
Żelazna 54,54.6,40015.0,2186000.0
Żelazna 54,40.7,43012.0,1751000.0
Żelazna 54,53.3,40511.0,2158000.0
Żelazna 54,41.4,44004.0,1820000.0
Żelazna 54,54.6,40015.0,2186000.0
Żelazna 54,53.3,40004.0,2131000.0
Żelazna 54,41.0,34641.0,1422000.0
Żelazna 54,29.5,36019.0,1064000.0
Żelazna 54,40.3,40010.0,1614000.0
Żelazna 54,28.7,36008.0,1032000.0
Żelazna 54,41.4,44004.0,1820000.0
Żelazna 54,46.7,39520.0,1846000.0
Żelazna 54,29.5,32024.0,946000.0
Żelazna 54,53.3,44002.0,2344000.0
Żelazna 54,54.8,40511.0,2220000.0
Żelazna 54,47.6,36102.0,1717000.0
Żelazna 54,108.8,42328.0,4604000.0
Żelazna 54,39.8,33007.0,1313000.0
Żelazna 54,41.5,40511.0,1680000.0
Żelazna 54,40.7,44019.0,1792000.0
Żelazna 54,41.5,40511.0,1680000.0
Żelazna 54,46.9,40017.0,1876000.0
Żelazna 54,40.6,36534.0,1484000.0
Żelazna 54,54.8,41004.0,2247000.0
Żelazna 54,53.3,41017.0,2185000.0
Żelazna 54,61.1,34228.0,2092000.0
Żelazna 54,41.9,32021.0,1342000.0
Żelazna 54,40.3,40010.0,1614000.0
Żelazna 54,31.0,30881.0,957000.0
Żelazna 54,41.0,34641.0,1422000.0
Żelazna 54,53.3,40004.0,2131000.0
Żelazna 54,54.6,40015.0,2186000.0
Żelazna 54,43.0,46014.0,1980000.0
Żelazna 54,40.8,41005.0,1673000.0
Żelazna 54,125.0,45303.0,5662000.0
Żelazna 54,41.5,35061.0,1454000.0
Żelazna 54,41.4,42019.0,1740000.0
Żelazna 54,61.1,42016.0,2568000.0
Żelazna 54,108.8,44847.0,4878000.0
Żelazna 54,53.3,42012.0,2238000.0
Żelazna 54,54.8,42007.0,2302000.0
Żelazna 54,35.2,35009.0,1233000.0
Żelazna 54,56.6,46504.0,2634000.0
Towarowa Square,61.9,25788.0,1596288.0
Żelazna 54,41.5,41018.0,1701000.0
Żelazna 54,41.5,41018.0,1701000.0
Żelazna 54,40.7,41012.0,1670000.0
Żelazna 54,41.5,41018.0,1701000.0
Żelazna 54,61.1,34228.0,2092000.0
Żelazna 54,53.3,41017.0,2185000.0
Żelazna 54,54.8,41004.0,2247000.0
Żelazna 54,34.6,45010.0,1556000.0
Żelazna 54,79.0,47004.0,3711000.0
Żelazna 54,41.3,45001.0,1859000.0
Żelazna 54,41.4,45019.0,1862000.0
Żelazna 54,41.4,45019.0,1862000.0
Żelazna 54,41.4,45019.0,1862000.0
Żelazna 54,40.7,45001.0,1832000.0
Towarowa Square,73.8,26061.0,1923018.0
Żelazna 54,41.9,32021.0,1342000.0
Towarowa Square,73.8,25017.0,1846535.0
Towarowa Square,61.9,25788.0,1596288.0
Żelazna 54,31.0,30881.0,957000.0
Żelazna 54,125.0,45303.0,5662000.0
Żelazna 54,61.7,48509.0,2993000.0
Żelazna 54,56.6,46504.0,2634000.0
Żelazna 54,56.0,46507.0,2603000.0
Żelazna 54,56.1,46513.0,2608000.0
Żelazna 54,43.0,46014.0,1980000.0
Żelazna 54,41.9,33500.0,1404000.0
Towarowa Square,52.6,29247.0,1538686.0
Towarowa Square,48.5,30418.0,1475554.0
Towarowa Square,50.5,30704.0,1550224.0
Żelazna 54,31.0,38529.0,1194000.0
Towarowa Square,50.5,30215.0,1525548.0
Towarowa Square,46.2,30700.0,1419248.0
Towarowa Square,46.2,29825.0,1378803.0
Towarowa Square,49.1,34311.0,1686378.0
Towarowa Square,48.5,31616.0,1533690.0
Towarowa Square,46.2,30700.0,1419248.0
Towarowa Square,61.9,25788.0,1596288.0
Towarowa Square,46.2,31046.0,1435251.0
Towarowa Square,45.1,29339.0,1322599.0
Towarowa Square,45.2,28968.0,1308204.0
Towarowa Square,46.2,32133.0,1485499.0
Towarowa Square,61.7,26808.0,1653782.0
Towarowa Square,46.5,30865.0,1433981.0
Towarowa Square,61.7,27132.0,1673777.0
Towarowa Square,55.7,27589.0,1535612.0
Towarowa Square,59.2,25919.0,1533883.0
Towarowa Square,73.8,25017.0,1846535.0
Towarowa Square,59.2,26280.0,1555233.0
Towarowa Square,45.2,29666.0,1339715.0
Towarowa Square,40.0,30019.0,1201357.0
Towarowa Square,45.1,28912.0,1303338.0
Towarowa Square,73.8,25765.0,1901166.0
Towarowa Square,40.0,30511.0,1221045.0
Towarowa Square,50.5,31981.0,1614736.0
Towarowa Square,73.8,26061.0,1923018.0
Towarowa Square,40.0,30927.0,1237704.0
Towarowa Square,52.6,29247.0,1538686.0
Towarowa Square,44.2,28066.0,1240808.0
Towarowa Square,92.6,28092.0,2600445.0
Towarowa Square,52.6,29247.0,1538686.0
Towarowa Square,62.7,25714.0,1612010.0
Towarowa Square,49.1,34311.0,1686378.0
Towarowa Square,58.2,27385.0,1593248.0
Towarowa Square,52.6,30163.0,1586884.0
Towarowa Square,54.9,29600.0,1626238.0
Towarowa Square,48.3,31263.0,1508439.0
Towarowa Square,58.2,28224.0,1642097.0
Towarowa Square,52.6,31118.0,1637102.0
Towarowa Square,69.6,27295.0,1898943.0
Towarowa Square,44.2,29363.0,1296687.0
Towarowa Square,36.6,30454.0,1115231.0
Towarowa Square,45.2,28968.0,1308204.0
Towarowa Square,48.5,29502.0,1431121.0
Towarowa Square,54.9,27594.0,1516006.0
Towarowa Square,50.5,30215.0,1525548.0
Towarowa Square,45.1,28912.0,1303338.0
Towarowa Square,54.9,28073.0,1542352.0
Towarowa Square,50.5,30704.0,1550224.0
Towarowa Square,48.5,30418.0,1475554.0
Towarowa Square,48.5,31616.0,1533690.0
Towarowa Square,50.5,31981.0,1614736.0
Towarowa Square,48.5,30318.0,1471008.0
Towarowa Square,48.5,28095.0,1362608.0
Towarowa Square,71.5,25524.0,1826266.0
Towarowa Square,37.8,30459.0,1151945.0
Towarowa Square,54.6,27241.0,1488452.0
Towarowa Square,50.5,31981.0,1614736.0
Towarowa Square,48.5,31616.0,1533690.0
Towarowa Square,54.9,29600.0,1626238.0
Towarowa Square,63.3,27100.0,1714627.0
Towarowa Square,63.3,26949.0,1705053.0
Towarowa Square,92.6,28092.0,2600445.0
Towarowa Square,50.2,32920.0,1651612.0
Towarowa Square,51.2,30735.0,1574261.0
Towarowa Square,92.6,28564.0,2644150.0
Towarowa Square,49.1,34311.0,1686378.0
Towarowa Square,44.5,30575.0,1359377.0
Towarowa Square,62.7,25714.0,1612010.0
Towarowa Square,45.1,28912.0,1303338.0
Towarowa Square,45.2,28968.0,1308204.0
Towarowa Square,66.8,26088.0,1742968.0
Towarowa Square,43.9,30618.0,1343823.0
Towarowa Square,45.1,29339.0,1322599.0
Towarowa Square,71.5,26209.0,1875273.0
Towarowa Square,69.9,25521.0,1784693.0
Towarowa Square,45.2,31074.0,1403290.0
Towarowa Square,45.2,29666.0,1339715.0
Towarowa Square,35.1,29926.0,1051896.0
Bulwary Praskie etap NOP,32.7,17700.0,579144.0
Towarowa Square,51.4,29558.0,1518406.0
Towarowa Square,45.2,31074.0,1403290.0
Towarowa Square,54.6,27241.0,1488452.0
Towarowa Square,37.8,28728.0,1086502.0
Towarowa Square,55.7,27589.0,1535612.0
Towarowa Square,47.3,28933.0,1367081.0
Towarowa Square,37.8,29153.0,1102559.0
Towarowa Square,55.7,27957.0,1556065.0
Towarowa Square,37.8,29546.0,1117434.0
Towarowa Square,63.3,26949.0,1705053.0
Towarowa Square,37.8,29931.0,1131976.0
Towarowa Square,71.5,25524.0,1826266.0
Towarowa Square,50.1,31958.0,1601413.0
Towarowa Square,37.8,30459.0,1151945.0
Towarowa Square,55.7,29152.0,1622586.0
Towarowa Square,50.1,32514.0,1629267.0
Towarowa Square,63.3,25568.0,1617681.0
Towarowa Square,55.7,29612.0,1648192.0
Towarowa Square,50.1,32928.0,1650027.0
Towarowa Square,55.5,30452.0,1689796.0
Towarowa Square,48.5,28095.0,1362608.0
Towarowa Square,46.3,28123.0,1302076.0
Towarowa Square,48.5,28407.0,1378314.0
Towarowa Square,45.6,28744.0,1312181.0
Towarowa Square,63.3,25568.0,1617681.0
Bulwary Praskie etap NOP,28.9,19021.0,548934.0
Bulwary Praskie etap NOP,43.9,19000.0,834860.0
