Address,Price_total,Area_m2,Price_m2,Rooms,Floor
ulica Pastuszków 9D,1250000.0,118.2,10573.0,5,1
ulica Pastuszków 9D,1250000.0,118.2,10573.0,0,1
ulica Równoległa 8,698117.0,38.3,18237.0,2,7
ulica Loteryjki 69E,674000.0,52.6,12811.0,0,2
ulica Równoległa 8B,936618.0,65.9,14221.0,3,3
ulica Równoległa 16A,477727.0,34.2,13960.0,2,2
ulica Łopuszańska 53,416546.0,30.2,13793.0,2,3
ulica Równoległa 8B,1088726.0,77.7,14021.0,5,2
ulica Łopuszańska 53,1354082.0,99.5,13610.0,5,2
ulica Równoległa 8B,1117885.0,77.5,14417.0,5,3
ulica Instalatorów 7A,1001644.0,71.0,14116.0,4,2
ulica Mińska 9,805845.0,39.9,20181.0,1,1
ulica Jerzego 68A,920000.0,125.3,7343.0,6,2
ulica Mińska 9,753548.0,36.8,20505.0,2,1
ulica Bogata 9,1510000.0,119.9,12591.0,5,1
ulica Równoległa 16A,1117356.0,70.6,15829.0,3,2
ulica Bogata 7,1510000.0,119.9,12591.0,5,1
ulica Równoległa 8,422629.0,26.0,16230.0,1,5
ulica Równoległa 16A,563507.0,37.3,15120.0,2,5
ulica Równoległa 8,859944.0,55.9,15397.0,3,7
ulica Mińska 9,354900.0,25.4,14000.0,1,5
ulica Równoległa 8B,1020745.0,66.1,15440.0,4,2
ulica Tomasza Nocznickiego 29,1124376.0,56.6,19851.0,3,6
ulica Instalatorów 7A,1082358.0,86.1,12575.0,4,3
ulica Mińska 9,361295.0,25.1,14388.0,1,5
ulica Pastuszków 9D,1250000.0,118.2,10573.0,5,1
ulica Pastuszków 9D,1250000.0,118.2,10573.0,0,1
ulica Równoległa 8,698117.0,38.3,18237.0,2,7
ulica Loteryjki 69E,674000.0,52.6,12811.0,0,2
ulica Równoległa 8B,936618.0,65.9,14221.0,3,3
ulica Równoległa 16A,477727.0,34.2,13960.0,2,2
ulica Łopuszańska 53,416546.0,30.2,13793.0,2,3
ulica Równoległa 8B,1088726.0,77.7,14021.0,5,2
ulica Łopuszańska 53,1354082.0,99.5,13610.0,5,2
ulica Równoległa 8B,1117885.0,77.5,14417.0,5,3
ulica Instalatorów 7A,1001644.0,71.0,14116.0,4,2
ulica Mińska 9,805845.0,39.9,20181.0,1,1
ulica Jerzego 68A,920000.0,125.3,7343.0,6,2
ulica Mińska 9,753548.0,36.8,20505.0,2,1
ulica Bogata 9,1510000.0,119.9,12591.0,5,1
ulica Równoległa 16A,1117356.0,70.6,15829.0,3,2
ulica Bogata 7,1510000.0,119.9,12591.0,5,1
ulica Równoległa 8,422629.0,26.0,16230.0,1,5
ulica Równoległa 16A,563507.0,37.3,15120.0,2,5
ulica Równoległa 8,859944.0,55.9,15397.0,3,7
ulica Mińska 9,354900.0,25.4,14000.0,1,5
ulica Równoległa 8B,1020745.0,66.1,15440.0,4,2
ulica Tomasza Nocznickiego 29,1124376.0,56.6,19851.0,3,6
ulica Instalatorów 7A,1082358.0,86.1,12575.0,4,3
ulica Mińska 9,361295.0,25.1,14388.0,1,5
ulica Pastuszków 9D,1250000.0,118.2,10573.0,5,1
ulica Pastuszków 9D,1250000.0,118.2,10573.0,0,1
ulica Równoległa 8,698117.0,38.3,18237.0,2,7
ulica Loteryjki 69E,674000.0,52.6,12811.0,0,2
ulica Równoległa 8B,936618.0,65.9,14221.0,3,3
ulica Równoległa 16A,477727.0,34.2,13960.0,2,2
ulica Łopuszańska 53,416546.0,30.2,13793.0,2,3
ulica Równoległa 8B,1088726.0,77.7,14021.0,5,2
ulica Łopuszańska 53,1354082.0,99.5,13610.0,5,2
ulica Równoległa 8B,1117885.0,77.5,14417.0,5,3
ulica Instalatorów 7A,1001644.0,71.0,14116.0,4,2
ulica Mińska 9,805845.0,39.9,20181.0,1,1
ulica Jerzego 68A,920000.0,125.3,7343.0,6,2
ulica Mińska 9,753548.0,36.8,20505.0,2,1
ulica Bogata 9,1510000.0,119.9,12591.0,5,1
ulica Równoległa 16A,1117356.0,70.6,15829.0,3,2
ulica Bogata 7,1510000.0,119.9,12591.0,5,1
ulica Równoległa 8,422629.0,26.0,16230.0,1,5
ulica Równoległa 16A,563507.0,37.3,15120.0,2,5
ulica Równoległa 8,859944.0,55.9,15397.0,3,7
ulica Mińska 9,354900.0,25.4,14000.0,1,5
